Subject,Condition,User ID,ManipulationText,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27,FD,SD,UP,FW,TFAD1_3,PANAS_1,PANAS_2,PANAS_3,PANAS_4,PANAS_5,PANAS_6,PANAS_7,PANAS_8,PANAS_9,PANAS_10,PANAS_11,PANAS_12,PANAS_13,PANAS_14,PANAS_15,PANAS_16,PANAS_17,PANAS_18,PANAS_19,PANAS_20,Q37_3,1aAns,T1a_3,1bAns,T1b_3,1cAns,T1c_3,2aAns,T2a_3,2bAns,T2b_3,2cAns,T2c_3,3aAns,T3a_3,3bAns,T3b_3,3cAns,T3c_3,4aAns,T4a_3,4bAns,T4b_3,4cAns,T4c_3,5aAns,T5a_3,5bAns,T5b_3,5cAns,T5c_3,6aAns,T6a_3,6bAns,T6b_3,6cAns,T6c_3,7aAns,T7a_3,7bAns,T7b_3,7cAns,T7c_3,8aAns,T8a_3,8bAns,T8b_3,8cAns,T8c_3,9aAns,T9a_3,9bAns,T9b_3,9cAns,T9c_3,10aAns,T10a_3,10bAns,T10b_3,10cAns,T10c_3,11aAns,T11a_3,11bAns,T11b_3,11cAns,T11c_3,12aAns,T12a_3,12bAns,T12b_3,12cAns,T12c_3,13aAns,T13a_3,13bAns,T13b_3,13cAns,T13c_3,14aAns,T14a_3,14bAns,T14b_3,14cAns,T14c_3,15aAns,T15a_3,15bAns,T15b_3,15cAns,T15c_3,16aAns,T16a_3,16bAns,T16b_3,16cAns,T16c_3,17aAns,T17a_3,17bAns,T17b_3,17cAns,T17c_3,18aAns,T18a_3,18bAns,T18b_3,18cAns,T18c_3,19aAns,T19a_3,19bAns,T19b_3,19cAns,T19c_3,20aAns,T20a_3,20bAns,T20b_3,20cAns,T20c_3,Purpose,Environ,Monitor,Monitor_TEXT,Browser,Browser_TEXT,Gender,Age,Edu,L1,Country,Comments
10,1,AGYCT7NNNN356,"666,163",1,4,2,4,3,5,2,5,2,4,1,5,1,4,4,5,2,4,5,1,5,3,5,1,2,5,5,9,25,22,34,"367,311",4,1,2,1,1,1,1,1,2,2,1,2,1,2,1,3,4,1,2,1,"244,933",,0.46,,,13,"30,177",,"3,249",,,8,"131,711",,"10,004",10,"9,322",,,,"3,003",,,10,"25,433",,"10,007",6,"81,586",,,,0.924,,,43,"23,902",,"10,008",9,"5,815",,,,"4,495",,,30,"23,715",,"2,496",,,27,"44,112",,"10,007",-11,"28,231",,,,"2,042",41,"8,282",,,,"2,015",9,"7,477",,,,"1,467",,,13,"43,588",,0.937,,,-6,"101,779",,0.492,,,-7,"20,186",,0.622,,,-34,"67,564",,0.475,,,42,"19,394",,0.488,,,32,"33,543",,0.429,,,3,"23,764",,0.659,,,34,"43,448",I have no idea,2,2,,2,,2,26,4,English,US,
11,1,A27OFFBF10NEGS,"137,555",1,5,4,2,1,4,4,4,1,4,1,2,1,5,4,2,1,3,1,1,1,2,1,3,1,4,4,5,26,20,16,105.39,4,1,1,1,2,1,1,1,3,3,1,1,1,3,1,1,4,1,1,1,"46,005",,"10,004",9,21.36,,,,2.43,,,3,"19,477",,"10,004",10,"3,906",,,,"1,016",,,10,"20,865",,"10,004",8,"25,816",,,,"10,005",45,"48,589",,,,"10,004",9,"25,065",,,,"10,006",30,"25,841",,,,"10,004",27,"39,766",,,,0.841,,,-11,"22,434",,0.388,,,41,"20,143",,"2,003",9,"16,059",,,,"1,291",,,13,"12,591",,0.633,,,-6,"15,299",,"1,356",,,-7,"10,992",,"1,965",-34,"10,279",,,,0.341,,,42,"9,615",,2,32,"9,955",,,,0.613,,,3,"9,553",,"2,004",34,"6,956",,,To see how arithmetic skills correlate to free will beliefs.,3,1,,2,,1,18,3,english,united states,
12,1,A20750ZVZL5ABV,"252,061",4,4,2,2,3,2,4,5,3,3,4,4,3,3,2,4,4,4,3,4,3,4,4,4,3,4,3,17,24,25,26,"146,935",4,1,3,1,3,2,2,1,3,3,1,3,1,4,2,5,4,1,3,2,"82,724",,"1,452",,,13,"93,131",,"1,172",,,3,"92,087",,"10,012",10,"16,306",,,,"1,347",,,10,"69,622",,"1,026",,,6,"47,131",,"1,577",,,43,"57,717",,"1,401",,,9,"64,485",,"1,736",,,30,"49,705",,0.796,,,29,"60,647",,"1,031",,,19,"52,359",,0.982,,,39,"56,145",,0.487,,,7,"89,977",,"1,084",,,13,54.31,,0.638,,,-6,"54,691",,0.71,,,-7,"45,452",,"2,014",-34,"96,809",,,,0.502,,,42,"41,199",,"2,005",32,"50,476",,,,0.456,,,3,"54,569",,0.615,,,34,"60,333"," How smart I am this early in the morning ?  I am not totally sure at this time exactly what this study is about, thank you.",1,2,,1,,1,40,5,English,United States of America,
13,1,AM7TNCZ9V8IWB,"239,457",2,4,3,4,2,4,4,5,2,4,4,4,2,3,4,4,3,4,4,2,3,4,4,2,2,4,4,11,25,27,28,"135,746",4,1,1,1,4,1,1,1,3,3,1,4,1,4,1,5,5,1,4,1,"95,951",,10.01,9,"69,415",,,,"10,011",3,12.81,,,,"10,012",10,"6,007",,,,10.01,10,"27,406",,,,"10,022",6,"27,181",,,,"10,028",43,"6,133",,,,"10,009",9,15.62,,,,"10,029",30,"38,095",,,,"10,014",27,"18,946",,,,10.02,-11,"36,476",,,,0.462,,,41,"27,462",,0.488,,,9,"20,805",,0.911,,,26,"44,387",,0.319,,,-6,"23,991",,0.645,,,-7,"22,413",,"1,352",,,-34,"25,083",,"1,659",,,42,"38,514",,0.758,,,32,"28,179",,"1,228",,,3,"21,502",,"1,082",,,34,"19,352",My guess is peoples response time to pressing the space bar while solving math problems.,1,2,,1,,2,33,4,English,United States,
14,1,A18N2MIANG9MND,"400,759",2,4,2,2,1,1,4,5,3,2,2,5,1,3,4,5,4,3,2,2,3,2,4,2,1,4,4,11,17,21,28,"280,863",4,2,3,1,3,1,1,1,3,4,1,5,1,3,1,4,5,1,2,1,"110,503",,0.891,,,9,"21,661",,1.78,,,3,"40,063",,"10,007",110,"106,217",,,,0.56,,,18,"55,511",,0.497,,,6,"32,503",,0.964,,,43,"48,368",,0.425,,,11,"59,987",,0.321,,,30,"43,544",,0.384,,,61,"32,047",,0.595,,,-9,49.68,,0.599,,,41,"55,642",,0.568,,,9,"42,908",,0.331,,,13,"29,422",,0.342,,,-6,"103,427",,0.46,,,-7,"31,275",,0.508,,,-18,"60,394",,0.378,,,42,"54,442",,0.438,,,32,"29,221",,0.3,,,3,"37,743",,0.114,,,34,"24,686"," I need to brush up on addition, subtraction. Science allows me to use a calculator too much.",1,1,,2,,2,53,5,English,USA,
15,1,AIR4UQNPIMFCJ,"440,250",2,3,4,3,4,3,3,3,3,3,3,3,2,3,4,4,3,3,3,3,3,3,4,3,3,3,3,14,21,26,23,"118,786",3,1,2,1,3,1,1,1,3,2,1,4,1,2,1,3,4,1,3,1,"80,383",,"10,015",9,"14,287",,,,"10,018",3,"4,328",,,,1.39,,,10,"42,551",,"10,012",10,4.83,,,,"10,014",6,"2,119",,,,"10,013",43,"6,073",,,,"1,767",,,9,33.83,,"10,017",30,"6,282",,,,"10,016",27,"2,908",,,,"10,008",-11,"8,148",,,,"2,012",41,"3,656",,,,"2,007",9,"11,097",,,,"2,013",13,"6,035",,,,"2,015",-6,"3,398",,,,"2,008",-7,"4,471",,,,"2,006",-34,"2,632",,,,"2,006",42,"2,418",,,,"2,007",32,"1,696",,,,"2,015",3,"1,313",,,,2.01,34,1.51,,,I don't know.,1,2,,2,,2,40,6,English,USA,
16,1,A1WB17ZFGUXEW2,"147,567",2,4,2,2,2,4,5,3,4,3,5,2,2,4,4,3,4,5,4,5,3,5,4,5,3,3,2,14,30,30,20,"50,223",3,4,1,4,1,2,1,1,3,1,2,2,1,1,4,1,2,3,1,2,"33,373",,1.02,,,13,"16,059",,"1,024",,,-8,"36,592",,0.412,,,10,"12,643",,"10,005",10,"2,501",,,,0.641,,,22,56.71,,0.597,,,43,"31,315",,0.536,,,9,"37,444",,0.471,,,30,"24,179",,"1,106",,,27,"33,117",,0.52,,,-11,"46,887",,"1,556",,,31,30.54,,0.656,,,9,"51,574",,"2,004",13,"1,557",,,,"2,004",-6,"1,724",,,,0.42,,,-7,"19,436",,"1,439",,,-34,"60,927",,"2,005",42,1.8,,,,0.395,,,32,"16,145",,0.77,,,3,"27,658",,"1,002",,,2,"50,875",Mood and temptation to cheat,1,1,,2,,2,18,4,English,USA,
17,1,A286TGLVNSZ8SV,"240,385",2,4,3,4,2,2,4,4,2,3,3,2,2,4,4,3,4,3,3,4,3,3,4,3,2,3,4,12,22,27,23,104.08,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,"47,481",,0.558,,,9,"42,487",,0.586,,,3,"68,221",,0.563,,,10,"56,398",,"1,278",,,10,"23,669",,0.666,,,6,"14,219",,0.47,,,43,"61,997",,0.737,,,9,"26,537",,0.432,,,30,"17,062",,0.499,,,27,31.92,,"1,001",,,-11,"28,583",,0.373,,,41,"21,815",,0.516,,,9,"23,648",,0.499,,,13,"20,936",,0.47,,,-6,21.43,,0.404,,,-7,"17,078",,0.517,,,-34,"23,236",,0.478,,,42,"15,023",,0.496,,,32,21.72,,0.538,,,3,26.78,,0.634,,,34,"12,089", agency,2,2,,2,,1,28,6,English,US,
18,1,A1SU3GI285VRUS,"137,215",4,5,2,4,2,3,4,5,4,4,4,3,3,2,5,5,2,3,4,1,2,4,4,5,4,4,4,15,26,28,27,"100,439",3,2,1,1,3,1,1,1,3,3,3,2,1,4,1,4,4,1,1,1,"45,884",,"10,006",9,83.11,,,,"10,006",3,45.55,,,,"10,007",10,"2,293",,,,"10,007",10,"3,051",,,,"10,006",6,"4,274",,,,"10,008",43,"3,523",,,,"10,006",32,"34,511",,,,"10,006",30,"22,453",,,,"10,007",54,"28,853",,,,"10,006",-11,"54,486",,,,0.485,,,41,37.55,,0.379,,,9,"43,138",,0.835,,,26,"62,404",,"2,007",-6,"3,413",,,,0.364,,,-7,"26,521", ,"2,003",-34,"4,021",,,,0.553,,,42,"24,455",,0.362,,,32,"29,271",,0.533,,,3,"28,225",,0.334,,,24,"37,394",solving math problems in a timely manner?,1,1,,3,,2,25,6,english,usa,
19,1,A2ETKEXXYV4WBF,"8,532",2,3,3,4,4,3,2,3,4,3,4,3,4,4,3,2,3,3,2,3,4,4,4,3,2,2,4,17,23,23,22,"40,042",3,1,3,2,4,1,1,1,3,3,1,3,1,3,1,3,4,1,2,1,"65,749",,"6,099",,,12,"60,435",,"10,001",23,"27,765",,,,"10,001",10,"24,148",,,,"10,001",10,"74,152",,,,10,4,"14,165",,,,"10,002",32,"37,948",,,,"10,001",9,"103,788",,,,"10,002",30,"16,857",,,,"10,002",27,"37,119",,,,10,-11,23.08,,,,0.812,,,41,"11,868",,2,9,"32,689",,,,2,13,"24,254",,,,"2,001",-6,"27,462",,,,"2,001",-7,"5,838",,,,2,-34,"29,975",,,,"2,001",42,"30,697",,,,"2,001",22,"21,867",,,,"2,001",3,"22,553",,,,"2,002",34,"23,728",,,"not quite sure, appears to be math oriented",8,1,,4,,2,60,6,english,usa,
20,1,AYXIDCIGUA037,"57,777",2,3,2,1,2,2,2,3,2,3,4,2,3,3,4,3,2,3,2,2,2,3,2,3,3,2,2,11,20,21,15,"10,465",2,2,1,2,2,2,2,1,1,1,1,3,2,1,3,2,3,2,1,2,"43,218",,0.91,,,9,"24,677",,"3,575",,,-27,"20,875",,1.57,,,4,"12,188",,"6,116",,,14,"17,691",,1.47,,,-28,15.8,,1.95,,,33,"15,087",,0.831,,,9,"11,884",,0.93,,,30,"11,179",,0.595,,,23,"17,888",,0.644,,,-45,"17,623",,"2,036",39,47.9,,,,"1,168",,,-19,29.41,,"2,036",-25,"20,914",,,,0.97,,,-8,"13,889",,0.917,,,3,8.64,,0.785,,,-38,"12,805",,"1,387",,,44,"14,002",,"1,228",,,32,"11,408",,"1,203",,,3,"11,663",,0.593,,,34,"11,284",i really have no idea,1,2,,2,,1,45,5,english,usa,
21,1,AUVJOESE3XYF3,"99,492",1,3,2,4,2,1,3,5,1,2,1,2,1,1,4,4,3,1,1,2,5,4,5,3,1,4,5,8,15,19,29,"69,307",3,2,2,1,3,1,1,2,3,3,1,3,1,1,1,1,5,1,3,1,"42,766",,0.487,,,-7,"32,097",,"1,013",,,-10,"25,145",,0.615,,,2,"18,518",,0.508,,,10,"18,172",,"1,065",,,9,"26,751",,"10,012",43,"2,268",,,,"2,745",,,9,"25,905",,0.617,,,31,"13,337",,"1,629",,,19,"27,326",,0.55,,,-11,"21,705",,0.601,,,40,"24,922",,"2,013",9,"7,429",,,,"2,016",13,7.78,,,,0.373,,,-6,"23,959",,"2,022",-7,"2,904",,,,"1,385",,,33,"31,329",,"1,236",,,42,"33,617",,"2,008",32,2.29,,,,"1,015",,,27,"18,598",,"2,012",34,"2,046",,,how likely we were to cheat on the math problems,4,2,,2,,2,31,6,English,USA,
22,1,A3RLCGRXA34GC0,"131,374",2,3,3,4,2,2,4,4,2,3,3,4,2,3,4,5,2,4,3,2,4,4,5,3,2,4,3,10,22,24,30,"125,439",3,1,1,1,2,1,1,1,3,3,1,4,1,2,1,4,4,1,1,1,"48,042",,0.811,,,24,40.84,,0.668,,,3,"45,788",,0.412,,,41,"36,567",,0.429,,,10,"37,636",,0.465,,,6,"28,568",,0.585,,,49,"24,689",,0.44,,,17,"30,652",,0.503,,,31,"22,139",,0.323,,,27,"28,532",,0.928,,,-19,25.85,,"2,035",41,"34,946",,,,"1,155",,,9,"25,311",,0.416,,,13,"25,114",,0.32,,,-6,"24,822",,0.439,,,-7,"22,918",,0.927,,,-34,"22,917",,0.332,,,42,"21,384",,0.311,,,32,"55,962",,0.346,,,3,"29,764",,0.374,,,34,"28,139", Probably about if people will lie given the chance that they will not get caught,1,1,,2,,1,44,6,english,usa,
23,1,AXHUS8TLNPP5I,"99,455",1,3,3,5,1,1,3,5,3,3,2,5,1,5,3,5,3,3,1,3,3,5,3,5,3,5,2,9,25,20,31,"129,263",3,1,1,1,3,1,1,1,3,3,1,5,1,1,1,3,5,1,3,1,"46,744",9,"10,005",9,"6,365",,,,"10,004",49,"33,837",,,,"10,005",10,"26,404",,,,"10,006",10,"7,476",,,,"10,003",6,"3,368",,,,"10,005",43,"2,755",,,,"10,005",9,17.96,,,,,,,30,"42,778",,,,,53,"23,386",,,,,-3,"52,307",,"2,006",41,,,,,,,,9,"40,091",,,,,13,,,,,,-6,"10,753",,,,,-7,"17,499",,,,,-34,"17,307",,,,,42,3.27,,,,,32,"24,459",,"2,005",3,"9,391",,,,,,,34,"26,379",who will cheat when given the opportunity and who will not,1,1,,2,,2,45,4,Americanized English,United States,
24,1,AMSWIR4J9XEIJ,"193,410",3,2,5,2,3,1,4,2,3,1,4,2,4,4,4,1,2,1,3,4,2,4,1,4,3,1,5,15,17,32,11,"81,657",5,1,2,1,4,1,1,1,3,3,1,4,1,2,1,4,4,1,3,1,"42,222",,0.535,,,9,"14,482",,"10,002",3,"16,259",,,,0.609,,,7,"16,751",,0.394,,,10,"28,396",,0.352,,,6,"15,543",,0.694,,,43,22.6,,0.36,,,11,30.68,,0.918,,,30,"16,661",,0.348,,,27,"28,397",,0.348,,,-11,"36,949",,1.52,,,41,"22,839",,"2,002",9,"7,637",,,,"2,002",13,"3,019",,,,"1,124",,,-6,"18,267",,0.423,,,-7,"57,361",,"2,001",34,2.81,,,,"1,469",,,42,"22,378",,0.589,,,32,15.26,,0.324,,,3,"19,525",,0.771,,,36,"24,804",I think this study is about how well people can solve math problems.,4,2,,4,,2,24,6,English,United States of America,
25,1,A3N4DQXA435BG5,"12,902",1,4,2,4,2,3,4,4,2,2,2,5,2,3,2,4,2,4,2,2,4,4,4,4,2,4,4,9,24,20,29,"76,891",5,1,3,1,3,1,1,1,3,3,1,5,1,3,1,3,5,1,3,1,"31,104",,3.28,,,9,"16,861",,"10,011",3,"3,039",,,,"3,874",,,10,"15,392",,"1,685",,,10,"16,736",,"10,003",6,"1,457",,,,"10,013",43,"2,346",,,,"10,009",9,"1,256",,,,"10,014",30,"2,721",,,,"10,006",27,"5,786",,,,"10,007",-11,"1,933",,,,"2,014",41,"1,657",,,,2.01,9,"1,502",,,,"2,031",13,"2,168",,,,"2,014",-6,"1,713",,,,"2,019",-7,"1,638",,,,"2,015",-34,11.91,,,,"2,007",42,"7,676",,,,"2,015",32,"1,133",,,,"2,018",3,"22,292",,,,"2,008",34,"1,052",,,Math,1,2,,4,,1,34,4,English,United States,
26,1, A2QF20GOMBD4ZH,"160,065",3,3,4,5,3,3,4,5,3,1,3,4,3,1,5,5,3,4,3,3,5,1,5,1,3,5,4,15,14,29,34,"156,238",3,2,1,1,3,1,1,1,1,3,2,3,1,1,1,3,4,1,2,1,"66,977",,"2,518",,,9,"92,964",,"1,674",,,3,"38,819",,"1,613",,,10,"36,248",,0.752,,,10,"43,461",,0.559,,,6,35.17,,0.564,,,43,"41,931",,0.514,,,9,"38,943",,0.472,,,30,"34,998",,0.512,,,27,"35,796",,"1,908",,,-11,"36,981",,0.614,,,41,"30,969",,0.471,,,9,"27,849",,0.471,,,17,"27,597",,0.449,,,-6,"28,108",,0.471,,,-7,"26,126",,0.983,,,-34,"33,859",,0.406,,,42,35.76,,0.479,,,32,"45,716",,0.638,,,3,"29,475",,0.417,,,34,"29,131",how honesty i woild be while taking the math test.,1,2,,4,,2,32,4,english,USA,
27,1,A346GH62LJZ0N4,"125,236",1,3,2,4,1,4,3,5,1,2,1,1,1,4,3,5,1,1,2,3,4,3,5,2,2,4,2,5,19,18,28,"162,843",2,4,1,4,1,4,4,1,1,1,3,2,4,1,3,2,2,1,1,4,"55,865",,0.757,,,9,"51,634",,"2,166",,,3,"39,288",,0.504,,,10,"23,768",,0.71,,,10,"33,279",,0.613,,,6,"21,432",,0.613,,,43,"22,588",,0.686,,,9,"25,263",,0.595,,,30,"34,384",,0.619,,,27,25.97,,0.573,,,-11,"24,493",,0.701,,,41,"29,419",,0.555,,,9,"39,404",,0.608,,,13,"29,523",,0.459,,,-6,"19,806",,0.339,,,-7,"23,291",,0.458,,,-34,"28,219",,0.4,,,42,"20,115",,0.427,,,32,"18,737",,0.456,,,3,"15,746",,0.36,,,34,"14,816","If the process of repeatable patterns OR the idea of fate facilitates the response time of simple mathematics. I'm more inclined to lean towards the math not being important at all but the pressing of the space bar with relation to what may or may not occur if it not done. Also, I think LOST, the TV series,  hinted at something similiar to this. 	)",1,1,,2,,1,26,4,English,United States of America,
28,1,A2BN0IXUJ4V01U,"201,721",4,3,2,1,5,1,1,2,5,3,1,1,1,1,4,1,5,1,1,4,2,2,5,1,2,2,5,20,12,20,14,"189,105",3,1,2,4,2,3,4,1,1,3,2,4,2,1,1,1,5,1,5,5,"92,747",,0.615,,,9,"84,254",,"1,977",,,3,"25,917",,0.837,,,10,"31,776",,0.852,,,10,"17,687",,0.577,,,6,"19,883",,0.78,,,43,"23,536",,0.703,,,11,"22,754",,0.552,,,30,"19,627",,0.595,,,27,"16,813",,0.679,,,-11,"21,802",,0.719,,,41,"38,142",,0.581,,,9,"20,977",,0.55,,,13,"20,235",,0.505,,,-6,"35,988",,0.592,,,-7,"48,158",,"1,247",,,34,"43,307", ,"1,989",42,"25,061",,,,"1,146",,,32,"16,755", ,"2,037",3,"5,698",,,,0.623,,,34,"18,819",how being told your thoughts are predetermined determines your reactions to something that actually IS predetermined,4,1,,5,Opera,2,31,3,English,USA,
29,1,A1PVDA09VSYWHP,"189,490",2,2,3,5,2,2,3,5,2,1,3,4,2,2,3,5,2,2,3,3,4,3,4,2,2,4,3,10,14,23,31,"118,214",3,1,1,1,2,1,1,1,2,2,1,3,1,1,1,2,4,1,3,1,"58,672",,10,53,"4,962",,,,"10,001",24,"19,772",,,,"10,001",13,"5,847",,,,"10,001",10,"2,383",,,,"10,001",6,"5,582",,,,"10,002",43,"4,089",,,,10,9,"4,281",,,,10,30,"4,248",,,,"10,001",27,"1,655",,,,10,-11,"7,074",,,,"1,351",,,39,"21,946",,"1,292",,,9,"16,422",,1.24,,,13,14.26,,"1,124",,,-6,"12,916",,"1,714",,,-7,"12,824",,"1,383",,,-44,"15,895",,0.534,,,42,"12,074",,"2,002",22,16.72,,,,"2,001",3,"16,389",,,,"1,442",,,34,"12,859",about making moral choices,1,2,,4,,1,34,4,English,United States,
30,1,A29B522D0BX6HN,"177,921",2,2,4,3,2,2,5,5,1,2,3,4,2,3,4,4,2,2,4,3,3,3,3,4,2,4,4,9,18,29,26,"181,473",3,1,2,1,3,1,1,1,4,3,1,3,1,4,1,4,4,1,2,1,67.32,,0.515,,,9,"26,346",,"10,025",3,"6,947",,,,2.64,,,10,"25,903",,"10,026",10,"6,916",,,,"2,002",,,6,"12,755",,"1,606",,,43,16.66,,"1,727",,,9,"14,946",,"3,624",,,30,"18,294",,"7,285",,,27,16.93,,0.581,,,-11,"27,989",,0.5,,,41,"21,789",,0.509,,,9,"95,846",,"2,008",13,"8,095",,,,0.842,,,-6,"18,293",,0.648,,,-7,"15,935",,"2,009",34,"5,265",,,,0.697,,,42,"13,547",,0.321,,,32,"13,519",,0.313,,,3,"16,385",,"2,025",34,11.05,,,FOLLOWING DIRECTIONS,1,2,,1,,2,40,5,ENGLISH,UNITED STATES,
31,1,A399R5EILOLGI3,"26,128",1,4,5,5,1,4,3,5,1,2,2,4,1,4,2,5,1,3,3,3,4,4,4,3,2,4,2,5,24,22,31,117.08,3,1,2,1,3,1,1,1,3,3,1,4,1,2,1,3,3,1,4,1,"50,101",,0.458,,,9,"24,682",,"1,869",,,3,"42,447",,"1,077",,,10,"38,769",,"1,322",,,10,28.04,,"2,128",,,6,"28,392",,"1,341",,,46,"23,079",,"1,449",,,9,"25,493",,"8,021",,,30,"27,823",,"8,062",,,27,"21,483",,"10,002",-11,"23,458",,,,0.675,,,41,"20,279", ,"2,001",9,"13,455",,,,"1,216",,,13,3.23,,"2,002",-6,"3,907",,,,0.591,,,-7,"21,889",,0.539,,,-34,13.84,,1.2,,,42,"15,268",,0.6,,,32,23.31, ,"2,002",3,"2,125",,,,"1,364",,,34,"15,827",Honesty,7,1,,4,,1,24,4,English,United States of America,
32,1,A2QT68NJYAJV9P,"128,591",1,4,4,4,1,2,5,4,1,2,4,4,2,2,4,4,1,3,4,4,4,2,4,3,3,4,5,6,18,33,28,"79,655",3,2,2,2,3,1,1,1,1,1,2,3,1,2,1,3,3,1,3,1,"71,093",,"5,875",,,9,"31,144",,"10,006",3,3.04,,,,"10,006",10,"2,965",,,,"10,006",10,"3,479",,,,"10,006",6,"3,137",,,,"10,007",43,"24,816",,,,"10,007",9,"2,631",,,,"10,006",30,"3,774",,,,"10,006",27,4.13,,,,"10,006",-11,"6,062",,,,"2,007",41,3.35,,,,"2,006",9,"29,244",,,,"2,006",13,4.19,,,,"2,007",-6,"4,927",,,,"2,007",-7,"3,527",,,,"2,006",-34,"4,581",,,,"2,007",42,"3,336",,,,"2,007",32,"4,269",,,,"2,006",3,"3,499",,,,"2,007",34,"4,037",,,To determine whether the passage has any effect on feelings about free will and performance on the task,2,1,,3,,2,37,7,English,USA,
33,1,A235ULDV4XUVDM,"161,633",3,4,5,3,2,3,2,4,3,3,4,2,3,2,5,5,3,2,3,2,3,2,3,4,3,3,3,14,20,27,23,"73,168",2,2,1,3,2,1,2,1,2,1,1,4,1,3,1,3,3,1,2,2,"45,805",,0.523,,,9,39.07,,0.321,,,3,"47,335",,0.497,,,10,"49,534",,0.622,,,10,"27,972",,0.505,,,6,"22,347",,0.425,,,43,"26,772",,0.526,,,9,"22,312",,0.473,,,30,"50,227",,0.479,,,27,"28,152",,0.298,,,-11,30.59,,0.472,,,41,"22,207",,0.495,,,9,"22,624",,0.476,,,12,"31,669",,0.366,,,-6,"31,895",,0.364,,,-7,"25,604",,0.574,,,-34,"32,822",,0.509,,,42,"24,182",,0.431,,,32,30.3,,0.368,,,3,"31,365",,0.972,,,34,"30,556",weither you will cheat or do the math yourself,1,2,,2,,2,29,5,english,usa,
34,1,AF0VXKL1NAD89,"362,001",3,4,4,4,3,3,4,4,3,2,4,3,3,4,4,5,3,4,4,3,3,3,3,4,3,3,4,15,24,30,25,"143,112",2,1,2,1,2,1,1,1,2,1,1,3,1,2,1,3,3,1,1,1,73.65,,"9,999",9,"7,859",,,,"1,094",,,-3,"41,462",,"9,998",10,"7,451",,,,0.656,,,10,"28,601",,1,,,6,"21,572",,0.953,,,42,"126,605",,0.827,,,9,"25,915",,0.922,,,30,"30,273",,0.765,,,27,24.51,,0.922,,,-3,"20,762",,"1,999",41,"4,343",,,,0.766,,,-16,"85,377",,0.594,,,13,"60,271",,0.609,,,-8,"23,684",,0.484,,,-21,"30,714",,0.562,,,-34,"59,726",,0.516,,,38,"75,444",,0.641,,,30,"17,217",,1.14,,,3,43.87,,0.906,,,34,"49,682",I'm not sure,4,1,,1,,2,35,4,English,USA,
35,1,A3FP6RIP0WGZ5I,"4,379",1,3,5,4,1,1,4,5,1,2,4,5,3,5,3,2,1,3,2,4,4,4,4,4,2,4,4,7,22,28,28,"13,611",4,5,2,2,1,1,2,2,1,1,2,4,3,1,5,3,5,5,2,2,"46,753",,"10,004",9,"5,226",,,,"10,001",3,"52,471",,,,"10,003",10,7.07,,,,"10,014",10,"10,376",,,,"10,014",6,"1,593",,,,"10,012",43,"1,734",,,,"10,016",9,"4,949",,,,"10,001",30,"2,648",,,,"10,005",27,2.62,,,,"10,011",-11,"5,994",,,,0.88,,,39,"35,059",,"2,002",9,"3,569",,,,"2,002",13,"5,645",,,,"2,016",-6,"6,394",,,,"2,004",-7,"2,377",,,,"2,002",-34,"2,142",,,,"2,001",42,"2,339",,,,"2,003",32,"3,268",,,,"2,002",3,"1,744",,,,"2,002",34,"2,181",,,the mind,4,1,,4,,2,23,6,english,usa,
36,1,A1YK1P623MZGNF,"261,057",1,3,4,5,1,2,1,5,1,1,3,5,1,1,5,5,2,3,5,2,5,2,5,2,1,5,4,6,14,25,35,"119,466",3,1,1,3,5,1,1,3,2,5,2,4,1,2,1,3,4,1,4,1,"57,308",,"10,006",9,"65,973",,,,0.793,,,3,"30,339",,"10,025",10,"14,391",,,,0.354,,,10,,6,"10,002",6,"9,676",,,,0.373,,,43,"30,628",,"10,004",9,"9,035",,,,0.627,,,30,"32,716",,"9,992",27,"4,668",,,,0.48,,,11,"21,362",,0.656,,,41,"25,416",,"2,009",9,"14,256",,,,0.571,,,13,29.92,,"2,057",6,"10,094",,,,"1,177",,,7,"23,872",,"2,829",34,"19,085",,,,0.088,,,42,"20,524",,2.12,32,"16,938",,,,0.641,,,3,"19,064",,"1,999",34,"19,322",,,to review our quick response,1,1,,2,,2,53,5,English,USA,
37,1,A1LR51V1MJ7P0B,"183,480",1,3,4,5,1,1,4,5,1,2,4,5,4,4,4,2,2,4,2,4,5,1,5,3,4,3,3,9,18,29,30,"170,424",5,1,4,1,5,1,1,1,5,5,1,5,1,4,1,4,5,1,5,1,"51,812",,0.518,,,9,"58,262",,0.643,,,3,"36,038",,0.654,,,10,"34,426",,0.736,,,10,"39,897",,0.65,,,6,"48,288",,0.473,,,43,"32,577",,0.553,,,9,"40,036",,0.521,,,30,"30,231",,0.738,,,27,"39,299",,0.792,,,-11,"45,534",,0.746,,,41,"52,641",,0.452,,,9,"37,808",,0.617,,,13,36.97,,0.67,,,-6,"34,587",,0.589,,,-9,"34,561",,0.528,,,-36,"40,017",,0.713,,,42,"23,136",,0.865,,,32,"27,353",,0.88,,,-1,"50,904",,0.597,,,34,"26,875",Honesty,1,1,,2,,1,26,4,English,United States,
